Ref_Date,GEOGRAPHY,CUTOFFBASE,STATISTICS,LICOPERSONS,Value
1990,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,1019
1991,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,1147
1992,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,1035
1993,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,1222
1994,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,1212
1995,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,1247
1996,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,1280
1997,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,1322
1998,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,1212
1999,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,1064
2000,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,1067
2001,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,1000
2002,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,894
2003,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,907
2004,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,849
2005,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,870
2006,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,828
2007,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,784
2008,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,828
2009,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,686
2010,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,778
2011,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,745
1976,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,292
1977,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,322
1978,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,266
1979,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,290
1980,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,278
1981,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,260
1982,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,277
1983,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,287
1984,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,317
1985,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,286
1986,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,266
1987,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,274
1988,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,229
1989,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,205
1990,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,241
1991,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,282
1992,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,242
1993,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,325
1994,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,302
1995,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,330
1996,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,319
1997,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,337
1998,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,301
1999,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,237
2000,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,252
2001,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,226
2002,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,174
2003,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,167
2004,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,168
2005,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,145
2006,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,139
2007,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,139
2008,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,150
2009,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,112
2010,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,124
2011,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,110
1976,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,478
1977,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,479
1978,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,436
1979,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,511
1980,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,523
1981,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,508
1982,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons 18 to 64 years,560
